scientificName,parent,count
Apis mellifera,origin,11797
Apis cerana,origin,318
Apis mellifera mellifera,origin,10
Apis mellifera ligustica,origin,93
Bombus terrestris,origin,705
Apis andreniformis,origin,54
Apis florea,origin,42
Apis koschevnikovi,origin,16
Apis laboriosa,origin,16
Apis nigrocincta,origin,19
Apis dorsata,origin,64
Apis nuluensis,origin,16
Melipona beecheii,origin,16
Meliponula bocandei,origin,16
Bombus waltoni,origin,142
Melissodes sp.,origin,2
Bombus modestus,origin,1
Bombus lepidus,origin,6
Bombus vestalis,origin,1
Bombus pyrosoma,origin,5
Bombus trifasciatus,origin,4
Bombus flavescens,origin,6
Bombus pascuorum,origin,165
Bombus pratorum,origin,2
Apis cerana japonica,origin,38
Xylocopa appendiculata circumvolans,origin,6
Halictus ligatus,origin,3
Bombus ardens ardens,origin,10
Lasioglossum pilosum,origin,1
Osmia lignaria,origin,48
Megachile parallela,origin,1
Megachile brevis,origin,2
Osmia subfasciata,origin,4
Osmia chalybea,origin,11
Apoidea,origin,61
Apis mellifera carnica,origin,282
Sceliphron caementarium,origin,1
Ceratina calcarata,origin,260
Scaptotrigona depilis,origin,2
Geniotrigona thoracica,origin,16
Heterotrigona itama,origin,33
Tetragonula fuscobalteata,origin,26
Sundatrigona moorei,origin,13
Tetragonula sirindhornae,origin,3
Bombus pensylvanicus,origin,15
Bombus bifarius,origin,34
Trigona spinipes,origin,17
Trigona hyalinata,origin,22
Paratrigona lineata,origin,13
Centris atripes,origin,22
Partamona epiphytophila,origin,5
Plebeia droryana,origin,9
Anthophora abrupta,origin,6
Tetragonula hockingsi,origin,3
Austroplebeia symei,origin,8
Tetragonula carbonaria,origin,6
Bombus appositus,origin,25
Bombus nevadensis,origin,11
Bombus fervidus,origin,12
Bombus flavifrons,origin,4
Bombus frigidus,origin,2
Bombus rufocinctus,origin,4
Bombus occidentalis,origin,4
Bombus mixtus,origin,6
Bombus bimaculatus,origin,14
Bombus impatiens,origin,707
Bombus sylvicola,origin,6
Bombus balteatus,origin,1
Nomada leucophthalma,origin,2
Nomada flava,origin,2
Nomada panzeri,origin,2
Nomada ferruginata,origin,2
Lasioglossum creberrimum,origin,13
Megachile mendica,origin,7
Xylocopa virginica,origin,2
Lasioglossum reticulatum,origin,19
Lasioglossum trigeminum,origin,3
Melitoma taurea,origin,2
Lasioglossum longifrons,origin,3
Augochloropsis metallica,origin,14
Bombus fraternus,origin,3
Melissodes communis,origin,4
Lasioglossum imitatum,origin,12
Agapostemon splendens,origin,8
Halictus poeyi,origin,8
Lasioglossum vierecki,origin,2
Lasioglossum puteulanum,origin,2
Augochlorella aurata,origin,6
Augochlorella persimilis,origin,1
Lasioglossum pectorale,origin,2
Ptilothrix bombiformis,origin,1
Megachile texana,origin,2
Megachile pseudobrevis,origin,2
Lasioglossum nymphale,origin,1
Megachile petulans,origin,1
Bombus sandersoni,origin,1
Xylocopa micans,origin,1
Osmia ribifloris,origin,48
Melipona quadrifasciata,origin,3
Melipona colimana,origin,2
Nomia melanderi,origin,96
Tetragonisca angustula,origin,31
Lepidotrigona terminata,origin,9
Lepidotrigona ventralis,origin,8
Tetragonula pagdeni,origin,26
Tetragonula,origin,6
Apis,origin,68
Bombus bohemicus,origin,8
Philanthus triangulum,origin,4
Lasioglossum leucozonium,origin,17
Lasioglossum laticeps,origin,10
Lasioglossum malachurum,origin,22
Lasioglossum nigripes,origin,10
Lasioglossum pauxillum,origin,11
Halictus maculatus,origin,11
Halictus scabiosae,origin,10
Lasioglossum limbellum,origin,3
Seladonia tumulorum,origin,5
Halictus fulvipes,origin,2
Lasioglossum morio,origin,2
Lasioglossum albipes,origin,177
Lasioglossum fulvicorne,origin,1
Lasioglossum lativentre,origin,2
Lasioglossum villosulum,origin,6
Lasioglossum interruptum,origin,2
Lasioglossum laevigatum,origin,2
Lasioglossum calceatum,origin,13
Lasioglossum mediterraneum,origin,1
Lasioglossum marginatum,origin,2
Sphecodes geoffrellus,origin,1
Sphecodes,origin,5
Halictus pollinosus,origin,2
Halictus crenicornis,origin,1
Lasioglossum zonulum,origin,1
Halictus rubicundus,origin,2
Augochlora pura,origin,1
Lasioglossum figueresi,origin,1
Lasioglossum zephyrum,origin,1
Tetragonula iridipennis,origin,1
Megalopta genalis,origin,1
Megachile rotundata,origin,211
Prosopis,origin,1
Osmia bicornis,origin,169
Osmia cornuta,origin,51
Apis mellifera syriaca,origin,1
Apis mellifera intermissa,origin,1
Ceratina australensis,origin,257
Osmia excavata,origin,5
Meliponini,origin,129
Trigona fulviventris,origin,12
Partamona orizabaensis,origin,14
Trigona necrophaga,origin,21
Oxytrigona mellicolor,origin,1
Partamona musarum,origin,26
Trigona silvestriana,origin,7
Melipona costaricaensis,origin,1
Trigona corvina,origin,8
Melipona panamica,origin,3
Osmia leaiana,origin,3
Heriades truncorum,origin,18
Halictidae,origin,7
Bombus lapidarius,origin,1
Chelostoma florisomne,origin,31
Osmia caerulescens,origin,40
Bombus hypnorum,origin,1
Megachile versicolor,origin,14
Seladonia tripartita,origin,4
Partamona helleri,origin,15
Melissodes desponsa,origin,67